name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
County Road 8070,9855,677770494,1261,1264,1,13.454964188522109,1,29,,unclassified,11,"LINESTRING (-91.78902100000001 37.977518, -91.788878 37.977474)",bike,1
County Road 8070,9856,677770494,1261,187,1,248.5239574900394,1,29,,unclassified,11,"LINESTRING (-91.78902100000001 37.977518, -91.789343 37.977589, -91.789542 37.977614, -91.789855 37.977677, -91.79012899999999 37.977755, -91.790516 37.977917, -91.79107500000001 37.978123, -91.79110300000001 37.978135, -91.79161999999999 37.978372)",bike,1
County Road 8070,9857,677770494,187,1261,1,248.52395749003944,1,29,,unclassified,11,"LINESTRING (-91.79161999999999 37.978372, -91.79110300000001 37.978135, -91.79107500000001 37.978123, -91.790516 37.977917, -91.79012899999999 37.977755, -91.789855 37.977677, -91.789542 37.977614, -91.789343 37.977589, -91.78902100000001 37.977518)",bike,1
County Road 8070,9858,677770494,187,1342,1,139.6028327370712,1,29,,unclassified,11,"LINESTRING (-91.79161999999999 37.978372, -91.792177 37.978641, -91.792807 37.979053, -91.79288 37.979129)",bike,1
County Road 8070,9859,677770494,1342,187,1,139.6028327370712,1,29,,unclassified,11,"LINESTRING (-91.79288 37.979129, -91.792807 37.979053, -91.792177 37.978641, -91.79161999999999 37.978372)",bike,1
County Road 8070,9860,677770494,1342,1343,1,58.02441453958113,1,29,,unclassified,11,"LINESTRING (-91.79288 37.979129, -91.793283 37.979543)",bike,1
County Road 8070,9861,677770494,1343,1342,1,58.02441453958113,1,29,,unclassified,11,"LINESTRING (-91.793283 37.979543, -91.79288 37.979129)",bike,1
County Road 8070,9862,677770494,1343,319,1,77.68092190143977,1,29,,unclassified,11,"LINESTRING (-91.793283 37.979543, -91.793447 37.979705, -91.79364200000001 37.979962, -91.793739 37.980138)",bike,1
County Road 8070,9863,677770494,319,1343,1,77.68092190143977,1,29,,unclassified,11,"LINESTRING (-91.793739 37.980138, -91.79364200000001 37.979962, -91.793447 37.979705, -91.793283 37.979543)",bike,1
County Road 8070,9864,677770494,319,1341,1,80.23847107773196,1,29,,unclassified,11,"LINESTRING (-91.793739 37.980138, -91.793818 37.98028, -91.793863 37.980415, -91.793888 37.980618, -91.793885 37.980841)",bike,1
