name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Southwood Drive,0,18628172,1,2,1,43.38130004075372,1,29,,residential,6,"LINESTRING (-91.748509 37.913794, -91.74815 37.913791, -91.74808299999999 37.91379, -91.748018 37.913773)",walk,1
Southwood Drive,1,18628172,2,1,1,43.38130004075372,1,29,,residential,6,"LINESTRING (-91.748018 37.913773, -91.74808299999999 37.91379, -91.74815 37.913791, -91.748509 37.913794)",walk,1
Southwood Drive,2,18628172,2,3,1,169.83359365590536,1,29,,residential,6,"LINESTRING (-91.748018 37.913773, -91.747906 37.913746, -91.747714 37.913617, -91.747522 37.913419, -91.747259 37.913276, -91.74632800000001 37.913293)",walk,1
Southwood Drive,3,18628172,3,2,1,169.8335936559054,1,29,,residential,6,"LINESTRING (-91.74632800000001 37.913293, -91.747259 37.913276, -91.747522 37.913419, -91.747714 37.913617, -91.747906 37.913746, -91.748018 37.913773)",walk,1
Southwood Drive,4,18628172,3,4,1,34.917898249783846,1,29,,residential,6,"LINESTRING (-91.74632800000001 37.913293, -91.74593 37.913297)",walk,1
Southwood Drive,5,18628172,4,3,1,34.917898249783846,1,29,,residential,6,"LINESTRING (-91.74593 37.913297, -91.74632800000001 37.913293)",walk,1
Southwood Drive,6,18628172,4,5,1,148.15776521549387,1,29,,residential,6,"LINESTRING (-91.74593 37.913297, -91.745575 37.9133, -91.744546 37.913359, -91.74424399999999 37.913366)",walk,1
Southwood Drive,7,18628172,5,4,1,148.15776521549387,1,29,,residential,6,"LINESTRING (-91.74424399999999 37.913366, -91.744546 37.913359, -91.745575 37.9133, -91.74593 37.913297)",walk,1
Southwood Drive,8,18628172,5,6,1,242.98619455044275,1,29,,residential,6,"LINESTRING (-91.74424399999999 37.913366, -91.743713 37.913378, -91.742756 37.913354, -91.74147499999999 37.91334)",walk,1
Southwood Drive,9,18628172,6,5,1,242.98619455044272,1,29,,residential,6,"LINESTRING (-91.74147499999999 37.91334, -91.742756 37.913354, -91.743713 37.913378, -91.74424399999999 37.913366)",walk,1
County Road 4060,10,18628174,7,8,1,33.28710915457083,1,29,,residential,6,"LINESTRING (-91.680278 37.906268, -91.68040999999999 37.906349, -91.680622 37.906342)",walk,1
